Year,ID,sl,radius,Increment,IW,Final.Age,bcSL,bc_gr,hdate,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,745,49,366,1,1.107,118,4.042764321,0.139564321,84,3/25/2007,25-Mar,3/26/2007,26-Mar,pre
2007,746,46,360,1,1.168,99,4.043003987,0.139803987,103,4/13/2007,13-Apr,4/14/2007,14-Apr,pre
2007,747,48,360,1,1.777,98,4.126003564,0.222803564,104,4/14/2007,14-Apr,4/15/2007,15-Apr,pre
2007,748,44,337,1,1.283,109,4.059708045,0.156508045,93,4/3/2007,3-Apr,4/4/2007,4-Apr,pre
2007,750,47,333,1,1.239,98,4.067650062,0.164450062,104,4/14/2007,14-Apr,4/15/2007,15-Apr,pre
2007,751,40,256,1,1.656,88,4.144525397,0.241325397,114,4/24/2007,24-Apr,4/25/2007,25-Apr,pre
2007,752,48,315,1,1.629,111,4.137414826,0.234214826,91,4/1/2007,1-Apr,4/2/2007,2-Apr,pre
2007,753,43,310,1,1.064,100,4.041081986,0.137881986,102,4/12/2007,12-Apr,4/13/2007,13-Apr,pre
2007,756,43,295,1,2.048,106,4.182482338,0.279282338,96,4/6/2007,6-Apr,4/7/2007,7-Apr,pre
2007,757,46,287,1,0.692,96,4.007724527,0.104524527,106,4/16/2007,16-Apr,4/17/2007,17-Apr,pre
2007,758,44,272,1,1.233,104,4.090683331,0.187483331,98,4/8/2007,8-Apr,4/9/2007,9-Apr,pre
2007,759,42,271,1,1.499,82,4.120585242,0.217385242,120,4/30/2007,30-Apr,5/1/2007,1-May,pre
2007,760,41,265,1,1.334,88,4.095981968,0.192781968,114,4/24/2007,24-Apr,4/25/2007,25-Apr,pre
2007,761,44,265,1,1.119,96,4.077988933,0.174788933,106,4/16/2007,16-Apr,4/17/2007,17-Apr,pre
2007,762,41,280,1,1.79,93,4.147599234,0.244399234,109,4/19/2007,19-Apr,4/20/2007,20-Apr,pre
2007,763,40,299,1,1.545,88,4.095045738,0.191845738,114,4/24/2007,24-Apr,4/25/2007,25-Apr,pre
2007,764,40,282,1,1.478,91,4.098125358,0.194925358,111,4/21/2007,21-Apr,4/22/2007,22-Apr,pre
2007,765,41,280,1,1.467,82,4.103498144,0.200298144,120,4/30/2007,30-Apr,5/1/2007,1-May,pre
2007,766,47,350,1,0.986,111,4.027558925,0.124358925,91,4/1/2007,1-Apr,4/2/2007,2-Apr,pre
2007,767,40,265,1,1.111,96,4.059427288,0.156227288,106,4/16/2007,16-Apr,4/17/2007,17-Apr,pre
2007,768,45,310,1,1.145,97,4.059168963,0.155968963,105,4/15/2007,15-Apr,4/16/2007,16-Apr,pre
2007,769,45,310,1,0.923,108,4.028928692,0.125728692,94,4/4/2007,4-Apr,4/5/2007,5-Apr,pre
2007,770,42,253,1,1.456,101,4.129881409,0.226681409,101,4/11/2007,11-Apr,4/12/2007,12-Apr,pre
2007,771,48,338,1,1.303,108,4.077473978,0.174273978,94,4/4/2007,4-Apr,4/5/2007,5-Apr,pre
2007,772,44,298,1,0.97,99,4.037455768,0.134255768,103,4/13/2007,13-Apr,4/14/2007,14-Apr,pre
2007,773,44,295,1,2.112,94,4.198576497,0.295376497,108,4/18/2007,18-Apr,4/19/2007,19-Apr,pre
2007,774,41,264,1,1.445,94,4.112839718,0.209639718,108,4/18/2007,18-Apr,4/19/2007,19-Apr,pre
2007,775,43,292,1,1.369,101,4.091862387,0.188662387,101,4/11/2007,11-Apr,4/12/2007,12-Apr,pre
2007,745,49,366,2,1.349,118,4.212838638,0.170074317,84,3/25/2007,25-Mar,3/27/2007,27-Mar,pre
2007,746,46,360,2,1.077,99,4.171915712,0.128911725,103,4/13/2007,13-Apr,4/15/2007,15-Apr,pre
2007,747,48,360,2,1.367,98,4.297400566,0.171397002,104,4/14/2007,14-Apr,4/16/2007,16-Apr,pre
2007,748,44,337,2,1.21,109,4.207311112,0.147603067,93,4/3/2007,3-Apr,4/5/2007,5-Apr,pre
