Year,ID,days.to.hatch,Avg.incu.temp,hdate,hatch_DATE_noYear
2012,1000,24,4.473238479,91,1-Apr
2012,1001,24,4.539987996,83,24-Mar
2012,1002,24,4.429030071,98,8-Apr
2012,1003,24,4.473238479,91,1-Apr
2012,1004,24,4.459141945,93,3-Apr
2012,1005,24,4.42392961,99,9-Apr
2012,1006,23,4.603885226,76,17-Mar
2012,1007,24,4.452521774,94,4-Apr
2012,1008,24,4.429030071,98,8-Apr
2012,1009,24,4.459141945,93,3-Apr
2012,1010,24,4.521874279,85,26-Mar
2012,1011,24,4.504665764,87,28-Mar
2012,1012,24,4.434444191,97,7-Apr
2012,1013,24,4.488432469,89,30-Mar
2018,2000,18,6.045973404,66,7-Mar
2018,2001,17,6.221385142,57,26-Feb
2018,2002,18,5.979820614,69,10-Mar
2018,2003,18,6.045973404,66,7-Mar
2018,2004,18,6.023999811,67,8-Mar
2018,2005,17,6.322792493,51,20-Feb
2018,2006,16,6.580645582,29,29-Jan
2018,2007,17,6.307360167,52,21-Feb
2018,2008,16,6.500687271,36,5-Feb
2018,2009,17,6.3919378,46,15-Feb
2018,2010,18,6.089374264,64,5-Mar
2018,2011,19,5.664142499,86,27-Mar
2018,2012,19,5.694002865,84,25-Mar
2018,2013,18,5.809222863,77,18-Mar
2018,2014,19,5.780937705,79,20-Mar
2018,2015,19,5.780937705,79,20-Mar
2018,2016,18,6.089374264,64,5-Mar
2018,2017,17,6.142609925,61,2-Mar
2018,2018,17,6.257537784,55,24-Feb
2018,2019,18,6.001927926,68,9-Mar
2018,2020,18,6.001927926,68,9-Mar
2018,2021,18,5.979820614,69,10-Mar
2018,2022,18,5.892294346,73,14-Mar
2018,2023,17,6.239749855,56,25-Feb
2018,2024,18,5.892294346,73,14-Mar
2018,2025,17,6.307360167,52,21-Feb
2018,2026,17,6.163039921,60,1-Mar
2018,2027,18,5.957740736,70,11-Mar
2018,2028,18,6.110676818,63,4-Mar
2018,2029,16,6.556658182,31,31-Jan
2018,2030,17,6.239749855,56,25-Feb
2018,2031,17,6.351971725,49,18-Feb
2018,2032,18,5.979820614,69,10-Mar
2018,2033,17,6.221385142,57,26-Feb
