FISHID,Year,Month,Day,SL_mm
BL251,2006,8,25,69
BL252,2006,8,25,60
BL253,2006,8,25,57
BL254,2006,8,25,64
BL255,2006,8,25,60
BL256,2006,8,25,64
BL257,2006,8,25,64
BL258,2006,8,25,59
BL259,2006,8,25,60
BL260,2006,8,25,60
BL261,2006,8,25,61
BL262,2006,8,25,61
BL263,2006,8,25,60
BL264,2006,8,25,58
BL265,2006,8,25,72
BL266,2006,8,28,70
BL267,2006,8,28,66
BL268,2006,8,28,67
BL269,2006,8,28,69
BL270,2006,8,28,64
BL271,2006,8,28,64
BL272,2006,8,28,61
BL273,2006,8,28,60
BL274,2006,8,28,74
BL275,2006,8,28,82
BL276,2006,8,28,92
BL277,2006,8,28,60
BL278,2006,8,28,65
BL279,2006,8,28,81
BL280,2006,8,28,63
BL281,2006,8,28,62
BL282,2006,8,28,68
BL283,2006,8,28,69
BL284,2006,8,28,73
BL285,2006,8,28,61
BL286,2006,8,28,64
BL287,2006,8,28,61
BL288,2006,8,28,63
BL289,2006,8,28,63
BL290,2006,8,28,64
BL291,2006,8,22,70
BL292,2006,8,22,71
BL293,2006,8,22,96
BL294,2006,8,22,77
BL295,2006,8,22,89
BL296,2006,8,22,94
BL297,2006,8,22,86
BL298,2006,8,22,81
BL299,2006,8,22,66
BL300,2006,8,22,74
BL301,2006,8,22,74
BL302,2006,8,22,67
BL303,2006,8,25,84
BL304,2006,8,25,68
BL305,2006,8,25,75
BL306,2006,8,25,71
BL307,2006,8,25,72
BL308,2006,8,25,71
BL309,2006,8,25,66
BL310,2006,8,25,98
BL311,2006,8,25,92
BL312,2006,8,25,73
BL313,2006,8,25,76
BL314,2006,8,25,68
BL315,2006,8,25,71
BL316,2006,8,27,68
BL317,2006,8,27,65
BL318,2006,8,27,63
BL319,2006,8,27,72
BL320,2006,8,27,65
BL321,2006,8,27,78
BL322,2006,8,27,84
BL323,2006,8,27,87
BL324,2006,8,27,99
BL325,2006,8,27,83
BL326,2006,8,27,91
BL327,2006,8,27,91
BL328,2006,8,27,63
BL329,2006,8,27,63
BL330,2006,8,27,63
BL331,2006,8,27,67
BL332,2006,8,27,59
BL333,2006,8,27,67
BL334,2006,8,27,58
BL335,2006,8,27,71
BL336,2006,8,27,82
BL337,2006,8,27,83
BL338,2006,8,27,84
BL339,2006,8,27,89
BL340,2006,8,27,108
BL341,2006,8,27,88
BL342,2006,8,27,93
BL343,2006,8,27,89
BL344,2006,8,27,93
BL345,2006,8,27,82
BL346,2006,8,27,72
BL347,2006,8,27,69
BL348,2006,8,27,82
BL349,2006,8,27,79
BL350,2006,8,27,64
BL351,2006,8,27,69
BL352,2006,8,27,75
BL353,2006,8,27,63
BL354,2006,8,27,62
BL355,2006,8,27,66
BL356,2006,8,27,62
BL357,2006,8,27,73
BL358,2006,8,27,79
BL359,2006,8,27,74
BL360,2006,8,27,89
BL361,2006,8,27,97
BL362,2006,8,27,92
BL363,2006,8,27,58
BL364,2006,8,25,70
BL365,2006,8,25,72
BL366,2006,8,25,62
BL367,2006,8,25,65
BL368,2006,8,25,66
BL369,2006,8,25,71
BL370,2006,8,25,69
BL371,2006,8,25,73
BL372,2006,8,25,88
BL373,2006,8,25,62
BL374,2006,8,25,66
BL375,2006,8,25,87
BL376,2006,8,25,62
BL377,2006,8,25,62
BL378,2006,8,25,67
BL379,2006,8,25,67
BL380,2006,8,25,72
BL381,2006,8,25,73
BL382,2006,8,25,58
BL383,2006,8,25,67
BL384,2006,8,25,68
BL385,2006,8,25,70
BL386,2006,8,25,60
BL387,2006,8,25,62
BL388,2006,8,25,66
BL389,2006,8,25,62
BL390,2006,8,25,62
BL391,2006,8,25,61
BL392,2006,8,25,61
BL393,2006,8,25,67
BL394,2006,8,25,63
BL395,2006,8,25,63
BL396,2006,8,25,66
BL397,2006,8,25,62
BL398,2006,8,25,64
BL399,2006,8,25,63
BL400,2006,8,25,63
BL401,2006,8,25,61
BL402,2006,8,25,63
BL403,2006,8,25,68
BL404,2006,8,25,59
BL405,2006,8,25,58
BL406,2006,8,25,66
BL407,2006,8,25,56
BL408,2006,8,25,70
BL409,2006,8,25,65
BL410,2006,8,25,63
BL411,2006,8,25,70
BL412,2006,8,25,63
BL413,2006,8,25,61
BL414,2006,8,25,58
BL415,2006,8,25,58
BL416,2006,8,25,62
BL417,2006,8,25,58
BL418,2006,8,25,59
BL419,2006,8,25,57
BL420,2006,8,25,63
BL421,2006,8,25,56
BL422,2006,8,25,53
BL423,2006,8,25,66
BL424,2006,8,25,75
BL425,2006,8,25,53
BL426,2006,8,25,61
BL427,2006,8,25,57
BL428,2006,8,25,59
BL429,2006,8,25,56
BL430,2006,8,25,59
BL431,2006,8,20,67
BL432,2006,8,20,50
BL433,2006,8,20,55
BL434,2006,8,20,59
BL435,2006,8,20,62
BL436,2006,8,20,61
BL437,2006,8,20,59
BL438,2006,8,2,56
BL439,2006,8,20,62
BL440,2006,8,20,68
BL441,2006,8,20,55
BL442,2006,8,20,58
BL443,2006,8,20,55
BL444,2006,8,20,46
BL445,2006,8,20,55
BL446,2006,8,22,74
BL447,2006,8,22,67
BL448,2006,8,22,64
BL449,2006,8,22,72
BL450,2006,8,22,58
BL451,2006,8,22,62
BL452,2006,8,22,61
BL453,2006,8,22,64
BL454,2006,8,22,90
BL455,2006,8,22,77
BL456,2006,8,22,77
BL457,2006,8,22,62
BL458,2006,8,22,68
BL459,2006,8,22,67
BL460,2006,8,22,63
BL461,2006,8,22,65
BL462,2006,8,22,68
BL463,2006,8,22,75
BL464,2006,8,22,77
BL465,2006,8,22,69
BL466,2006,8,22,77
BL467,2006,8,22,60
BL468,2006,8,22,62
BL469,2006,8,22,62
BL470,2006,8,22,65
BL471,2006,8,22,61
BL472,2006,8,22,58
BL473,2006,8,22,61
BL474,2006,8,22,84
BL475,2006,8,22,67
BL476,2006,8,21,58
BL477,2006,8,21,57
BL478,2006,8,21,55
BL479,2006,8,21,61
BL480,2006,8,21,60
BL481,2006,8,21,62
BL482,2006,8,21,64
BL483,2006,8,21,57
BL484,2006,8,21,56
BL485,2006,8,21,61
BL486,2006,8,21,69
BL487,2006,8,21,59
BL488,2006,8,21,60
BL489,2006,8,21,50
BL490,2006,8,21,59
BL491,2006,8,20,73
BL492,2006,8,20,72
BL493,2006,8,20,102
BL494,2006,8,20,68
BL495,2006,8,20,70
BL496,2006,8,20,72
BL497,2006,8,20,89
BL498,2006,8,20,73
BL499,2006,8,20,77
BL500,2006,8,20,86
BL501,2006,8,20,67
BL502,2006,8,20,66
BL503,2006,8,20,65
BL504,2006,8,20,76
BL505,2006,8,20,59
BL506,2006,8,21,77
BL507,2006,8,21,65
BL508,2006,8,21,66
BL509,2006,8,21,64
BL510,2006,8,21,73
BL511,2006,8,21,65
BL512,2006,8,21,59
BL513,2006,8,21,61
BL514,2006,8,21,60
BL515,2006,8,21,58
BL516,2006,8,21,61
BL517,2006,8,21,66
BL518,2006,8,21,66
BL519,2006,8,21,64
BL520,2006,8,21,64
BL521,2006,8,21,73
BL522,2006,8,21,73
BL523,2006,8,21,57
BL524,2006,8,21,59
BL525,2006,8,21,62
BL526,2006,8,21,54
BL527,2006,8,21,68
BL528,2006,8,21,58
BL529,2006,8,21,62
BL530,2006,8,21,60
BL531,2006,8,21,66
BL532,2006,8,21,76
BL533,2006,8,21,58
BL534,2006,8,21,60
BL535,2006,8,21,68
BL707,2007,8,23,68
BL708,2007,8,23,63
BL709,2007,8,23,64
BL710,2007,8,23,56
BL711,2007,8,23,65
BL712,2007,8,23,66
BL713,2007,8,23,58
BL714,2007,8,23,56
BL715,2007,8,23,62
BL716,2007,8,23,48
BL717,2007,8,23,50
BL718,2007,8,23,58
BL719,2007,8,23,57
BL720,2007,8,23,50
BL721,2007,8,23,59
BL722,2007,8,23,52
BL723,2007,8,23,55
