yr,day,mos,cap_doy,id,sl,radius,age,hdate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208
2009,6,7,187,54,43,321,95,92,1.066,1.101,1.11,1.043,1.042,1.337,1.18,0.94,1.43,1.132,1.38,1.316,0.884,1.175,1.213,1.224,1.44,1.356,1.169,1.336,1.974,1.768,1.894,1.811,1.894,1.768,1.934,1.243,1.343,1.266,2.054,1.82,2.232,3.739,4.567,3.915,4.244,3.755,4.015,4.327,4.973,3.97,4.883,5.403,5.07,6.125,5.213,4.425,3.395,3.984,4.199,3.108,3.549,3.637,3.555,4.063,4.22,4.708,3.963,2.152,4.266,5.18,5.396,4.532,5.842,4.793,5.648,3.6,3.509,2.998,3.458,4.14,3.668,3.6,3.698,3.858,5.09,3.419,4.022,4.433,4.788,4.843,4.728,4.919,4.759,4.534,5.234,5.132,4.566,4.305,3.628,3.192,4.029,4.021,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,57,45,310,94,93,1.221,1.232,1.158,1.5,1.673,1.308,1.49,1.35,1.615,1.407,1.518,1.516,1.617,1.665,1.497,1.516,1.413,1.252,1.359,1.338,1.733,1.983,1.739,2.265,3.464,2.762,2.836,2.385,2.154,2.52,2.431,2.064,2.097,3.36,3.302,3.674,4.498,3.385,3.867,3.417,3.583,4.517,5.449,4.919,4.039,4.216,4.978,4.518,4.186,3.737,3.818,4.142,3.512,2.954,3.224,4.326,3.771,4.943,4.228,3.478,2.886,3.623,3.053,2.743,3.21,2.229,3.924,2.764,3.299,3.567,2.765,2.764,3.85,3.105,3.358,3.509,3.642,3.162,3.821,3.456,4.295,3.974,3.333,4.102,4.743,4.578,3.754,3.989,4.39,3.736,4.203,4.577,3.456,3.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,58,43,276,107,80,1.179,1.056,1.264,1.424,1.258,0.889,1.342,1.033,1.786,0.799,1.281,0.729,0.99,0.76,0.894,1.072,0.719,0.753,0.808,1.213,0.736,0.751,0.747,0.919,1.097,1.158,0.946,1.069,0.942,1.162,1.293,1.42,1.582,1.3,1.792,2.459,1.606,2.004,1.787,1.606,2.488,1.976,1.901,2.332,1.933,2.017,2.058,1.903,2.732,1.881,2.747,2.501,2.812,1.409,3.173,1.759,1.914,1.776,3.942,2.543,5.361,4.477,3.349,3.235,3.801,3.249,2.992,3.434,4.994,5.62,3.731,5.044,4.626,5.714,3.777,3.346,2.634,3.145,2.543,2.689,3.761,2.659,3.586,2.866,3.339,3.145,3.787,3.322,3.882,4.564,3.329,3.339,4.061,4.504,3.319,4.195,3.215,5.73,4.513,3.091,4.394,3.99,4.232,3.237,3.917,3.986,3.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,59,42,287,102,85,1.837,1.207,1.291,0.894,1.111,0.765,1.057,1.038,1.373,1.229,1.082,0.92,1.103,1.042,1.629,1.182,1.755,1.318,1.024,1.442,1.434,1.817,2.626,1.883,1.423,2.111,1.875,2.031,2.196,2.46,1.65,1.663,2.46,2.112,2.205,2.296,3.486,3.949,2.47,4.115,2.229,4.098,3.881,3.656,4.1,4.258,2.546,2.936,2.037,3.559,3.798,4.274,3.085,3.454,2.467,2.959,1.973,2.959,2.343,3.087,4.071,4.41,3.153,2.482,3.074,3.779,3.545,4.605,3.266,2.675,4.137,4.256,3.771,5.474,3.962,4.15,3.108,4.423,2.937,2.87,3.138,2.87,3.496,2.779,4.309,3.496,4.078,3.163,3.247,2.247,3.785,4.055,4.164,3.378,4.279,4.052,4.347,4.229,3.173,2.478,2.749,2.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,60,43,301,94,93,1.067,1.128,1.154,0.708,1.183,1.129,0.847,1.153,0.816,1.331,1.455,1.564,0.691,0.653,1.22,1.002,0.975,1.34,1.771,1.515,1.224,1.52,1.395,1.674,1.674,1.366,1.448,2.537,3.559,3.803,4.311,3.84,4.054,4.102,3.132,2.521,4.082,2.352,2.151,2.696,2.061,4.61,2.911,3.415,3.503,3.896,5.735,5.128,5.187,5.503,5.187,4.338,6.412,4.53,2.693,2.647,2.831,3.016,1.866,2.14,2.838,3.281,2.695,1.946,2.853,5.646,5.404,4.602,3.869,3.435,3.315,4.745,5.341,3.131,4.227,3.206,3.833,3.833,4.193,3.113,5.188,3.621,5.04,4.321,4.99,4.463,4.617,4.56,4.424,3.789,4.66,5.044,5.45,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,61,37,227,82,105,1.111,1.191,1.391,1.592,1.688,1.369,2.444,2.054,1.5,1.76,1.126,0.685,0.856,1.029,0.771,0.694,0.387,0.852,0.815,0.674,1.396,1.596,1.334,1.467,1.534,1.734,2.267,2.867,2.664,3.517,3.635,3.261,4.236,4.431,5.669,4.537,4.536,4.537,4.422,4.763,4.381,3.938,4.687,3.208,3.209,5.268,4.578,4.032,4.519,3.864,2.899,2.965,3.763,2.736,2.395,3.307,2.896,2.461,3.868,5.156,3.197,3.781,2.471,2.471,2.618,2.18,2.49,3.611,2.326,2.85,3.086,2.956,3.215,3.215,3.471,2.443,2.957,2.314,3.582,2.389,2.778,3.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,27,7,208,62,42,294,95,92,1.151,1.059,1.281,1.131,0.978,1.035,1.122,1.031,0.974,0.921,1.088,1.084,0.731,0.827,0.756,0.843,0.769,0.819,0.792,0.798,0.868,0.932,0.917,1.156,0.959,1.211,1.13,1.001,1.095,1.356,1.553,1.753,1.47,1.436,2.683,2.533,2.782,2.359,1.566,2.784,2.901,2.341,2.586,2.976,2.783,3.339,3.328,4.187,3.519,4.256,4.047,3.554,3.528,3.878,3.449,3.878,4.118,3.579,4.482,3.512,4.039,4.102,5.05,4.471,4.739,4.053,5.033,5.421,5.175,5.988,5.012,4.61,4.244,3.722,4.001,4.675,5.371,4.942,3.343,4.063,4.743,4.274,4.567,4.735,5.506,5.242,4.585,4.784,5.164,4.173,4.134,3.452,3.869,4.022,4.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,63,40,255,84,103,1.245,1.272,1.293,1.139,1.645,1.5,1.368,1.951,1.393,1.341,1.353,1.119,1.129,1.062,1.305,2.05,1.452,1.475,1.821,2.257,2.292,3.407,2.194,1.99,1.863,2.176,2.433,1.88,2.056,1.963,2.588,3.073,2.666,2.517,2.273,2.866,3.19,3.039,3.777,2.606,3.256,4.967,4.287,4.362,5.757,3.844,5.304,4.613,3.902,2.618,3.818,3.818,2.714,4.27,3.759,4.237,4.038,3.584,3.233,3.387,2.909,3.625,4.141,4.098,3.697,3.84,3.636,3.911,2.912,3.515,3.698,4.036,3.425,3.778,4.711,3.772,3.724,3.687,4.141,3.563,3.925,3.633,2.798,3.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,64,40,247,85,102,1.069,1.091,1.207,1.489,1.535,1.09,1.068,0.977,1.326,1.121,1.128,1.329,0.941,1.037,0.942,0.929,1.353,1.384,1.026,1.549,1.455,2.734,2.226,2.026,2.602,2.61,1.745,2.026,1.665,1.633,2.218,2.29,1.877,2.288,4.559,5.643,4.591,3.612,3.972,5.098,4.755,4.61,3.863,5.448,4.577,5.693,5.303,4.953,4.405,3.882,4.774,3.734,3.675,3.141,2.709,2.25,4.034,4.033,3.939,3.315,2.962,2.961,3.638,2.926,2.959,2.797,3.658,2.69,3.378,3.068,3.695,2.41,3.979,3.035,4.375,2.923,3.201,4.055,3.006,3.574,3.298,3.454,3.26,2.507,2.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6,7,187,65,45,304,90,97,1.404,1.106,1.247,1.066,1.372,1.412,1.119,1.412,1.346,1.35,1.269,1.926,1.53,1.44,1.432,1.257,1.489,1.105,1.827,1.23,1.277,1.379,2.034,4.418,4.535,3.328,5.046,4.795,4.2,2.852,2.407,2.902,3.385,3.09,3.072,2.87,2.696,4.241,3.519,2.811,4.084,3.987,4.062,3.447,3.577,3.158,2.63,3.524,3.392,3.344,3.089,3.748,3.617,3.099,3.157,3.597,3.195,3.5,3.864,5.89,5.089,4.376,5.439,3.846,3.992,3.523,3.851,5.862,4.826,4.066,3.861,3.946,4.736,3.761,4.415,3.798,4.97,4.542,4.585,4.079,5.466,4.437,4.743,4.948,3.613,4.826,5.278,4.854,5.185,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
