Year,ID,SL_mm,cap_DATE_noyr,cap_doy_corr,Final.Age,Yearf
2009,54,43,6-Jul,187,95,2009
2009,57,45,6-Jul,187,94,2009
2009,58,43,6-Jul,187,107,2009
2009,59,42,6-Jul,187,102,2009
2009,60,43,6-Jul,187,94,2009
2009,61,37,6-Jul,187,82,2009
2009,62,42,27-Jul,208,95,2009
2009,63,40,6-Jul,187,84,2009
2009,64,40,6-Jul,187,85,2009
2009,65,45,6-Jul,187,90,2009
2009,66,39,6-Jul,187,92,2009
2009,67,42,6-Jul,187,88,2009
2009,69,33,6-Jul,187,89,2009
2009,70,41,6-Jul,187,84,2009
2009,71,41,6-Jul,187,91,2009
2009,73,40,6-Jul,187,93,2009
2009,74,32,6-Jul,187,80,2009
2009,76,39,6-Jul,187,95,2009
2009,77,41,21-Jul,202,95,2009
2009,229,35,17-Jul,198,82,2009
2009,236,34,14-Jul,195,80,2009
2009,237,33,14-Jul,195,76,2009
2009,238,31,14-Jul,195,78,2009
2009,239,40,14-Jul,195,88,2009
2009,240,47,14-Jul,195,113,2009
2009,242,41,14-Jul,195,82,2009
2009,243,40,14-Jul,195,81,2009
2009,244,42,14-Jul,195,85,2009
2009,245,40,14-Jul,195,87,2009
2009,246,44,14-Jul,195,93,2009
2009,247,39,14-Jul,195,87,2009
2009,248,39,14-Jul,195,82,2009
2009,250,36,14-Jul,195,85,2009
2007,745,49,21-Jul,202,118,2007
2007,746,46,21-Jul,202,99,2007
2007,747,48,21-Jul,202,98,2007
2007,748,44,21-Jul,202,109,2007
2007,750,47,21-Jul,202,98,2007
2007,751,40,21-Jul,202,88,2007
2007,752,48,21-Jul,202,111,2007
2007,753,43,21-Jul,202,100,2007
2007,756,43,21-Jul,202,106,2007
2007,757,46,21-Jul,202,96,2007
2007,758,44,21-Jul,202,104,2007
2007,759,42,21-Jul,202,82,2007
2007,760,41,21-Jul,202,88,2007
2007,761,44,21-Jul,202,96,2007
2007,762,41,21-Jul,202,93,2007
2007,763,40,21-Jul,202,88,2007
2007,764,40,21-Jul,202,91,2007
2007,765,41,21-Jul,202,82,2007
2007,766,47,21-Jul,202,111,2007
2007,767,40,21-Jul,202,96,2007
2007,768,45,21-Jul,202,97,2007
2007,769,45,21-Jul,202,108,2007
2007,770,42,21-Jul,202,101,2007
2007,771,48,21-Jul,202,108,2007
2007,772,44,21-Jul,202,99,2007
2007,773,44,21-Jul,202,94,2007
2007,774,41,21-Jul,202,94,2007
2007,775,43,21-Jul,202,101,2007
2010,831,48,20-Jul,201,117,2010
2010,832,48,20-Jul,201,91,2010
2010,833,47,20-Jul,201,113,2010
2010,838,48,20-Jul,201,84,2010
2010,839,45,20-Jul,201,83,2010
2010,840,45,20-Jul,201,120,2010
2010,841,52,20-Jul,201,95,2010
2010,843,45,20-Jul,201,91,2010
2010,844,44,20-Jul,201,100,2010
2010,847,43,20-Jul,201,96,2010
2010,848,44,20-Jul,201,86,2010
2010,852,42,20-Jul,201,94,2010
2010,854,41,20-Jul,201,92,2010
2010,855,36,20-Jul,201,78,2010
2010,861,38,20-Jul,201,72,2010
2010,864,49,20-Jul,201,110,2010
2010,868,43,20-Jul,201,101,2010
2010,869,44,20-Jul,201,100,2010
2010,871,46,20-Jul,201,98,2010
2010,872,46,20-Jul,201,97,2010
2010,873,47,20-Jul,201,85,2010
2010,876,52,20-Jul,201,125,2010
2010,879,50,20-Jul,201,118,2010
2012,971,37,14-Jul,196,108,2012
2012,972,44,14-Jul,196,106,2012
2012,973,39.9,14-Jul,196,99,2012
2012,974,43.7,14-Jul,196,101,2012
2012,975,33.8,14-Jul,196,90,2012
2012,976,39.2,14-Jul,196,101,2012
2012,977,38,14-Jul,196,103,2012
